id,central_requirement,foreign_id_grades
1,Eleven framställer olika typer av bilder med delvis genomarbetade uttrycksformer.,1-1-2
2,"I bildarbetet använder eleven olika tekniker, verktyg och material på ett i huvudsak fungerande sätt.",1-1-2
3,Utifrån syftet med bildarbetet och någon idé väljer eleven ett i huvudsak fungerande tillvägagångssätt,1-1-2
4,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.,1-1-2
5,Eleven beskriver bilders innehåll och funktion på ett enkelt sätt.,1-1-2
6,Eleven framställer olika typer av bilder med delvis genomarbetade uttrycksformer anpassade till syfte och sammanhang så att budskapet framgår.,1-1-3
7,"I bildarbetet använder eleven olika tekniker, verktyg och material på ett i huvudsak fungerande sätt och prövar då hur dessa kan kombineras för att skapa olika uttryck.",1-1-3
8,Eleven utvecklar i viss utsträckning idéer med utgångspunkt i inspirationskällor och andra uppslag,1-1-3
9,Utifrån syftet med bildarbetet väljer eleven ett i huvudsak fungerande tillvägagångssätt och ger enkla motiveringar till sina val,1-1-3
10,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.-I årskurs 7–9,1-1-3
11,"Eleven för enkla resonemang om innehåll, uttryck och funktioner i egna och andras bilder.",1-1-3
12,"Eleven visar grundläggande kunskaper om natur, kropp och hälsa, kraft och rörelse samt material och ämnen",1-1-1
13,Utifrån egna upplevelser och utforskande av närmiljön beskriver eleven enkla naturvetenskapliga samband i naturen och människokroppen,1-1-1
14,"Utifrån tydliga instruktioner utför eleven enkla fältstudier, observationer och experiment.",1-1-1
15,Eleven visar grundläggande kunskaper om biologins begrepp och förklaringsmodeller,1-1-2
16,Med viss användning av begreppen och förklaringsmodellerna beskriver eleven enkla biologiska samband i naturen och människokroppen.,1-1-2
17,Eleven använder information som rör biologi för att med viss naturvetenskaplig underbyggnad föra resonemang i frågor som rör miljö och hälsa.,1-1-2
18,Eleven söker svar på frågor genom att utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-1-2
19,Eleven värderar resultaten och beskriver på ett enkelt sätt undersökningarna.,1-1-2
20,Eleven visar grundläggande kunskaper om biologins begrepp och förklaringsmodeller-I årskurs 7–9,1-1-3
21,Med viss användning av begreppen och förklaringsmodellerna beskriver och förklarar eleven biologiska samband i naturen och människokroppen,1-1-3
22,,1-1-3
23,I frågor som rör miljö och hälsa för eleven resonemang samt framför och bemöter argument med viss naturvetenskaplig underbyggnad,1-1-3
24,Eleven söker information som rör biologi och använder då olika källor och för enkla resonemang om informationens och källornas trovärdighet och relevans.,1-1-3
25,Eleven söker svar på frågor genom att planera och utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-1-3
26,Eleven värderar undersökningarna genom att föra enkla resonemang utifrån frågeställningarna.,1-1-3
27,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-1-2
28,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-1-2
