id,central_requirement,foreign_id_grades
1,Eleven framställer olika typer av bilder med delvis genomarbetade uttrycksformer.,1-1-4
2,"I bildarbetet använder eleven olika tekniker, verktyg och material på ett i huvudsak fungerande sätt.",1-1-4
3,Utifrån syftet med bildarbetet och någon idé väljer eleven ett i huvudsak fungerande tillvägagångssätt,1-1-4
4,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.,1-1-4
5,Eleven beskriver bilders innehåll och funktion på ett enkelt sätt.,1-1-4
6,Eleven framställer olika typer av bilder med delvis genomarbetade uttrycksformer anpassade till syfte och sammanhang så att budskapet framgår.,1-1-5
7,"I bildarbetet använder eleven olika tekniker, verktyg och material på ett i huvudsak fungerande sätt och prövar då hur dessa kan kombineras för att skapa olika uttryck.",1-1-5
8,Eleven utvecklar i viss utsträckning idéer med utgångspunkt i inspirationskällor och andra uppslag,1-1-5
9,Utifrån syftet med bildarbetet väljer eleven ett i huvudsak fungerande tillvägagångssätt och ger enkla motiveringar till sina val,1-1-5
10,Under arbetsprocessen bidrar eleven till att formulera och välja handlingsalternativ.,1-1-5
11,"Eleven för enkla resonemang om innehåll, uttryck och funktioner i egna och andras bilder.",1-1-5
12,"Eleven visar grundläggande kunskaper om natur, kropp och hälsa, kraft och rörelse samt material och ämnen",1-2-9
13,Utifrån egna upplevelser och utforskande av närmiljön beskriver eleven enkla naturvetenskapliga samband i naturen och människokroppen,1-2-9
14,"Utifrån tydliga instruktioner utför eleven enkla fältstudier, observationer och experiment.",1-2-9
15,Eleven visar grundläggande kunskaper om biologins begrepp och förklaringsmodeller,1-2-10
16,Med viss användning av begreppen och förklaringsmodellerna beskriver eleven enkla biologiska samband i naturen och människokroppen.,1-2-10
17,Eleven använder information som rör biologi för att med viss naturvetenskaplig underbyggnad föra resonemang i frågor som rör miljö och hälsa.,1-2-10
18,Eleven söker svar på frågor genom att utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-2-10
19,Eleven värderar resultaten och beskriver på ett enkelt sätt undersökningarna.,1-2-10
20,Eleven visar grundläggande kunskaper om biologins begrepp och förklaringsmodeller,1-2-11
21,Med viss användning av begreppen och förklaringsmodellerna beskriver och förklarar eleven biologiska samband i naturen och människokroppen,1-2-11
22,,1-2-11
23,I frågor som rör miljö och hälsa för eleven resonemang samt framför och bemöter argument med viss naturvetenskaplig underbyggnad,1-2-11
24,Eleven söker information som rör biologi och använder då olika källor och för enkla resonemang om informationens och källornas trovärdighet och relevans.,1-2-11
25,Eleven söker svar på frågor genom att planera och utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-2-11
26,Eleven värderar undersökningarna genom att föra enkla resonemang utifrån frågeställningarna.,1-2-11
27,"Eleven lyssnar samt förstår och tolkar det mest väsentliga av innehållet i tydligt talat, enkelt språk i lugnt tempo om vardagliga och välbekanta ämnen",1-3-15
28,Eleven läser samt förstår och tolkar det mest väsentliga av innehållet i enkla texter om vardagliga och välbekanta ämnen,1-3-15
29,Eleven väljer enkel information från ett avgränsat urval av muntliga och skriftliga källor samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-3-15
30,I muntliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar,1-3-15
31,I skriftliga framställningar av olika slag formulerar sig eleven enkelt och begripligt med fraser och meningar.,1-3-15
32,"I interaktion uttrycker sig eleven enkelt och begripligt med ord, fraser och meningar",1-3-15
33,Dessutom använder eleven strategier som i någon mån underlättar och förbättrar interaktionen.,1-3-15
34,"Eleven kommenterar på ett enkelt sätt, på engelska, förhållanden i olika sammanhang och områden där språket används.",1-3-15
35,Eleven lyssnar samt förstår och tolkar huvudsakligt innehåll och tydliga detaljer i talat språk i måttligt tempo och i olika sammanhang,1-3-16
36,Eleven läser samt förstår och tolkar huvudsakligt innehåll och tydliga detaljer i lättillgängliga texter av olika slag,1-3-16
37,Eleven väljer och värderar innehåll i muntliga och skriftliga källor av olika slag samt använder på ett delvis relevant sätt det valda materialet i sin egen produktion och interaktion.,1-3-16
38,"I muntliga framställningar av olika slag formulerar sig eleven enkelt, begripligt och relativt sammanhängande",1-3-16
39,"I skriftliga framställningar av olika slag formulerar sig eleven enkelt, begripligt och relativt sammanhängande.",1-3-16
40,"I interaktion i olika sammanhang uttrycker sig eleven enkelt och begripligt samt i någon mån anpassat till syfte, mottagare och situation",1-3-16
41,Dessutom använder eleven strategier som i viss utsträckning underlättar och förbättrar interaktionen.,1-3-16
42,"Eleven diskuterar översiktligt, på engelska, förhållanden i olika sammanhang och områden där språket används, även utifrån egna erfarenheter eller kunskaper.",1-3-16
43,"Eleven visar grundläggande kunskaper om natur, kropp och hälsa, kraft och rörelse samt material och ämnen",1-4-20
44,Utifrån egna upplevelser och utforskande av närmiljön beskriver eleven enkla naturvetenskapliga samband i naturen och människokroppen,1-4-20
45,"Utifrån tydliga instruktioner utför eleven enkla fältstudier, observationer och experiment.",1-4-20
46,Eleven visar grundläggande kunskaper om fysikens begrepp och förklaringsmodeller,1-4-21
47,Med viss användning av begreppen och förklaringsmodellerna beskriver eleven enkla fysikaliska fenomen i naturen och samhället.,1-4-21
48,"Eleven använder information som rör fysik för att med viss naturvetenskaplig underbyggnad föra resonemang i frågor som rör energi, teknik och miljö.",1-4-21
49,Eleven söker svar på frågor genom att utföra systematiska undersökningar på ett säkert och i huvudsak fungerande sätt,1-4-21
50,Eleven värderar resultaten och beskriver på ett enkelt sätt undersökningarna.,1-4-21
51,Eleven visar grundläggande kunskaper om fysikens begrepp och förklaringsmodeller,1-4-22
