id,grade,foreign_id_subject
1,I årskurs 1–3 - Bild,1-1
2,I årskurs 4–6 - Bild,1-1
3,I årskurs 7–9 - Bild,1-1
4,I årskurs 1–3 - Biologi,1-2
5,I årskurs 4–6 - Biologi,1-2
6,I årskurs 7–9 - Biologi,1-2
7,I årskurs 1–3 - Engelska,1-3
8,I årskurs 4–6 - Engelska,1-3
9,I årskurs 7–9 - Engelska,1-3
10,I årskurs 1–3 - Fysik,1-4
11,I årskurs 4–6 - Fysik,1-4
12,I årskurs 7–9 - Fysik,1-4
13,I årskurs 1–3 - Geografi,1-5
14,I årskurs 4–6 - Geografi,1-5
15,I årskurs 7–9 - Geografi,1-5
16,I årskurs 1–6 - Hem- och konsumentkunskap,1-6
17,I årskurs 7–9 - Hem- och konsumentkunskap,1-6
18,I årskurs 1–3 - Historia,1-7
19,I årskurs 4–6 - Historia,1-7
20,I årskurs 7–9 - Historia,1-7
21,I årskurs 1–3 - Idrott och hälsa,1-8
22,I årskurs 4–6 - Idrott och hälsa,1-8
23,I årskurs 7–9 - Idrott och hälsa,1-8
24,I årskurs 1–3 - Kemi,1-9
25,I årskurs 4–6 - Kemi,1-9
26,I årskurs 7–9 - Kemi,1-9
27,I årskurs 1–3 - Matematik,1-10
28,I årskurs 4–6 - Matematik,1-10
29,I årskurs 7–9 - Matematik,1-10
30,"I årskurs 4–9, inom ramen för elevens val - Moderna språk",1-11
31,"I årskurs 4–6, inom ramen för språkval - Moderna språk",1-11
32,"I årskurs 7–9, inom ramen för språkval - Moderna språk",1-11
33,"I årskurs 4–9, inom ramen för elevens val, kinesiska - Moderna språk",1-11
34,"I årskurs 4–6, inom ramen för språkval, kinesiska - Moderna språk",1-11
35,"I årskurs 7–9, inom ramen för språkval, kinesiska - Moderna språk",1-11
36,I årskurs 1-3 - Modersmål,1-12
37,I årskurs 4-6 - Modersmål,1-12
38,I årskurs 7-9 - Modersmål,1-12
39,"I årskurs 1–3, inom ramen för finska som förstaspråk - Modersmål - finska som nationellt minoritetsspråk",1-13
