id,subject
1,Bild
2,Biologi
3,Engelska
4,Fysik
5,Geografi
6,Hem- och konsumentkunskap
7,Historia
8,Idrott och hälsa
9,Kemi
10,Matematik
11,Moderna språk
12,Modersmål
13,Modersmål - finska som nationellt minoritetsspråk
14,Modersmål - jiddisch som nationellt minoritetsspråk
15,Modersmål - meänkieli som nationellt minoritetsspråk
16,Modersmål - romani chib som nationellt minoritetsspråk
17,Musik
18,Religionskunskap
19,Samhällskunskap
20,Slöjd
21,Svenska
22,Svenska som andraspråk
23,Teckenspråk för hörande
24,Teknik
25,Dans
26,Judiska studier
